                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3734,                 2.6201,                 1.7313,                0.58279,                0.39295,                0.43255,                0.18248,                 1.7682,                 3.0292,                 2.2444,             0.00065625,             0.00065625,             0.00065625
                      2,                  1.425,                 2.1028,                 1.7689,                0.56951,                0.49477,                0.45561,                0.19229,                 1.9162,                 2.5023,                 2.3753,              0.0011919,              0.0011919,              0.0011919
                      3,                 1.5116,                 1.8344,                 1.8403,                0.67996,                0.49322,                0.53865,                0.26512,                 1.9826,                 2.2122,                 2.6018,              0.0015956,              0.0015956,              0.0015956
                      4,                 1.4588,                 1.5792,                 1.7758,                0.44356,                0.31436,                0.32962,                0.10943,                 2.2302,                 2.7802,                 3.4116,               0.001406,               0.001406,               0.001406
                      5,                 1.4588,                 1.4288,                 1.7263,                0.73369,                 0.5935,                0.63152,                0.31812,                 1.8811,                 1.7628,                 2.4517,               0.001406,               0.001406,               0.001406
                      6,                 1.3569,                 1.2231,                 1.6598,                 0.7802,                0.57995,                0.67101,                0.29806,                 1.8651,                 1.7375,                  2.213,               0.001208,               0.001208,               0.001208
                      7,                  1.306,                 1.1055,                 1.6241,                0.76557,                0.71274,                0.73396,                0.36345,                 1.6953,                 1.3996,                 1.9578,                0.00101,                0.00101,                0.00101
                      8,                 1.2431,                0.95571,                 1.5598,                 0.7931,                0.72719,                0.77226,                0.43037,                 1.5278,                 1.3169,                 1.7462,               0.000812,               0.000812,               0.000812
                      9,                 1.1583,                0.88819,                 1.4696,                0.80369,                0.67751,                0.75931,                0.43788,                 1.5399,                 1.3322,                  1.815,               0.000614,               0.000614,               0.000614
                     10,                 1.1115,                0.81854,                 1.4276,                0.84576,                0.77507,                0.83805,                0.50311,                 1.4782,                  1.117,                 1.6628,               0.000416,               0.000416,               0.000416
